2226606  December 20, 2005 19:32:35
2230027  December 20, 2005 20:41:35
2230722  December 20, 2005 20:53:36
2240762  December 21, 2005 00:08:55
2264887  December 21, 2005 17:27:48
2279027  December 22, 2005 00:35:58
2288016  December 22, 2005 11:27:31
2306875  December 22, 2005 23:41:46
2312696  December 23, 2005 09:21:10
2319652  December 23, 2005 12:18:16
2329312  December 23, 2005 15:32:45
2334032  December 23, 2005 17:06:28
2354220  December 24, 2005 00:27:24
2364129  December 24, 2005 11:20:18
2375636  December 24, 2005 16:53:37
2380541  December 24, 2005 19:35:14
2385714  December 24, 2005 22:56:44
2451970  December 27, 2005 02:46:51
2451983  December 27, 2005 02:47:14
2454802  December 27, 2005 09:50:38
2457362  December 27, 2005 11:34:23
2463650  December 27, 2005 13:46:28
2632835  December 29, 2005 20:38:07
2632855  December 29, 2005 20:38:25
2632865  December 29, 2005 20:38:35
2674596  December 30, 2005 10:12:26
2674622  December 30, 2005 10:12:54
2674627  December 30, 2005 10:13:00
2674638  December 30, 2005 10:13:11
2674655  December 30, 2005 10:13:30
2674695  December 30, 2005 10:14:04
2680731  December 30, 2005 11:26:40
2698137  December 30, 2005 22:09:48
2697346  December 31, 2005 05:21:17
2696760  December 31, 2005 15:34:59
2694436  January 1, 2006 20:29:57
2694151  January 2, 2006 12:11:45
2695663  January 2, 2006 15:47:05
2695679  January 2, 2006 15:47:16
2695708  January 2, 2006 15:47:32
2695732  January 2, 2006 15:47:49
2696215  January 2, 2006 15:54:13
2706841  January 2, 2006 17:54:18
2706907  January 2, 2006 17:54:56
2724933  January 2, 2006 21:41:48
2752228  January 3, 2006 08:56:49
2758704  January 3, 2006 11:28:37
2773774  January 3, 2006 15:46:31
2774076  January 3, 2006 15:50:51
2803879  January 3, 2006 23:35:24
2804350  January 3, 2006 23:41:02
2825481  January 4, 2006 12:55:06
2832405  January 4, 2006 15:16:12
2845994  January 4, 2006 20:00:04
2883278  January 5, 2006 15:10:32
2884230  January 5, 2006 15:26:17
2888644  January 5, 2006 16:56:41
2888664  January 5, 2006 16:56:59
2922408  January 6, 2006 12:12:14
2923948  January 6, 2006 12:59:20
2977415  January 7, 2006 16:10:27
2993695  January 7, 2006 23:23:35
2993698  January 7, 2006 23:23:42
2993704  January 7, 2006 23:23:58
3001431  January 8, 2006 20:02:08
3001436  January 8, 2006 20:02:22
3001437  January 8, 2006 20:02:26
3001439  January 8, 2006 20:02:29
3001442  January 8, 2006 20:02:39
3001443  January 8, 2006 20:02:47
3001731  January 8, 2006 20:16:11
3001738  January 8, 2006 20:16:27
3001857  January 8, 2006 20:19:28
3003662  January 8, 2006 20:59:39
3240882  January 16, 2006 12:34:28
3240922  January 16, 2006 12:36:37
3240930  January 16, 2006 12:36:57
3243366  January 16, 2006 14:48:37
3246085  January 16, 2006 16:15:23
